epoch,step,loss,eval_loss,eval_chrfpp,eval_bleu
1.0,2075,5.367340455572289,0.4048585295677185,15.678122315769327,1.9364997117689735
2.0,4150,1.6882896037274095,0.23953373730182648,26.540988113399187,8.354525340592744
3.0,6225,0.38627867916980424,0.21598714590072632,29.234923518275252,10.508165287909435
4.0,8300,0.30778717408697287,0.19599057734012604,31.472120506302197,12.588384677936943
5.0,10375,0.2799026378953313,0.18686708807945251,32.9097201781423,13.708824119537732
6.0,12450,0.2604600727127259,0.17693553864955902,34.253893605553955,15.157986235083689
7.0,14525,0.24445806664156627,0.17117305099964142,35.13271113015936,15.973843797342779
8.0,16600,0.2319586696394955,0.16653098165988922,35.995823673050076,16.794986983915447
9.0,18675,0.22130079889871987,0.16267180442810059,36.56762886050236,17.47280353005814
10.0,20750,0.21330694359469127,0.15985798835754395,37.10658161942069,17.83291890079744
11.0,22825,0.20611182523060995,0.15688912570476532,37.546515761235845,18.29467246449361
12.0,24900,0.20007099197571537,0.15497425198554993,37.863079259416466,18.61872068539029
13.0,26975,0.19456884177334338,0.1527818739414215,38.12143332115144,18.93885886473306
14.0,29050,0.18943871187876507,0.15109431743621826,38.43841848623914,19.26440319774448
15.0,31125,0.18476777226091867,0.1496058702468872,38.616726050137444,19.445188080058045
16.0,33200,0.18106792403990965,0.14792120456695557,38.850063126768205,19.703974985310417
17.0,35275,0.17734955937029367,0.14700378477573395,39.094322014674745,19.975679933517323
18.0,37350,0.17420974915286144,0.146553173661232,39.26586736171098,20.154573047054857
19.0,39425,0.17150017060429218,0.14526081085205078,39.40073255471629,20.313140288148986
20.0,41500,0.1688735116246235,0.14450694620609283,39.50185362426029,20.405153281089046
21.0,43575,0.16697659779743976,0.14361509680747986,39.68010569506168,20.603338461552255
22.0,45650,0.16470220726656626,0.1432092785835266,39.80686742951791,20.74558677879738
23.0,47725,0.16301703395613704,0.14274950325489044,39.84330943007777,20.74385567569463
24.0,49800,0.16154520425451807,0.14243172109127045,39.9569031696019,20.861376391710866
25.0,51875,0.16028349727033134,0.1422411948442459,40.00129082728917,20.990183700765563
26.0,53950,0.15915264083678463,0.1418021023273468,40.02553523282748,20.980335086323528
27.0,56025,0.15863497446818525,0.1417478322982788,40.128486100944464,21.064841105663895
28.0,58100,0.15768069347703315,0.14150696992874146,40.1089478696162,21.053748612685187
29.0,60175,0.15707812205854668,0.14139646291732788,40.15525805877008,21.104939780590957
30.0,62250,0.15686929358057228,0.14139387011528015,40.14406202303209,21.085337831851422
