epoch,step,loss,eval_loss,eval_chrfpp,eval_bleu
1.0,1038,2.3394961200927264,0.4240385591983795,3.9789846401185556,0.017592444709600842
2.0,2076,0.45883087569808223,0.3830277919769287,5.725939236595366,0.05280417983514208
3.0,3114,0.4257079842922086,0.35839155316352844,6.880118038027819,0.06592099734724977
4.0,4152,0.40419479693521193,0.34149155020713806,7.433179891043032,0.14113731373257388
5.0,5190,0.38797102911623915,0.3273889422416687,8.192458201152919,0.25284624178254717
6.0,6228,0.3757848427245153,0.3165322542190552,8.623792329366514,0.42845752078101446
7.0,7266,0.365427476592606,0.30716174840927124,9.515116115251198,0.6328756631263639
8.0,8304,0.3564810927433315,0.29894182085990906,10.055270737372574,0.7332348652481576
9.0,9342,0.3488605183213662,0.2922678291797638,10.655560774602996,0.9161864575180909
10.0,10380,0.3422159771928438,0.2860393822193146,11.412690371872038,1.1252584350565122
11.0,11418,0.3359374705996357,0.2807726263999939,11.879199982054775,1.308975743640165
12.0,12456,0.33101079275612655,0.27604395151138306,12.329232620138072,1.2927506176220913
13.0,13494,0.3263970817904022,0.27200374007225037,12.748364654395608,1.5839811736397602
14.0,14532,0.3220077838052445,0.2681652307510376,13.196097492864677,1.6806775362718678
15.0,15570,0.3183349726976457,0.26482149958610535,13.39490497127759,1.77775473977528
16.0,16608,0.3148208059557141,0.2618604302406311,13.788007579618885,1.8450404888731469
17.0,17646,0.31155613070508187,0.25890690088272095,14.150629555528681,2.0316148548004134
18.0,18684,0.3089158309907123,0.25673454999923706,14.548358137337903,2.209162444069567
19.0,19722,0.30635344224169075,0.25436916947364807,14.868992623096911,2.3381406205168833
20.0,20760,0.3040154370728715,0.2524004280567169,15.11302469349564,2.397612344658485
21.0,21798,0.3021676535780949,0.2505556344985962,15.304263850991163,2.4577556572021604
22.0,22836,0.3004456448417179,0.24893955886363983,15.547486168513162,2.578333588206371
23.0,23874,0.29889518723092784,0.2474893033504486,15.697110368565914,2.678247967598381
24.0,24912,0.2975088424535615,0.24650058150291443,15.82202564054939,2.6987286696445425
25.0,25950,0.2964268502472453,0.2456597536802292,15.921714775207038,2.784876310782355
26.0,26988,0.29559720136756384,0.2446855902671814,16.030583282492476,2.807898756884817
27.0,28026,0.2948840367311687,0.24403643608093262,16.082628349831122,2.866041393482642
28.0,29064,0.2941048388765956,0.24366886913776398,16.194209781360357,2.8797148142326616
29.0,30102,0.29381236405271555,0.2434239387512207,16.23376281075998,2.9543137862372517
30.0,31140,0.29351339174832913,0.24331611394882202,16.210190721402277,2.8980164652586913
