epoch,step,loss,eval_loss,eval_chrfpp,eval_bleu
1.0,2075,5.431315417921687,0.40192580223083496,23.042557149466703,4.995492595193083
2.0,4150,0.9269284167921686,0.3718225061893463,24.318780677816505,5.79622811279495
3.0,6225,0.5579815747364458,0.32171374559402466,26.314910344029883,7.241816962765814
4.0,8300,0.47118852362575303,0.2979288101196289,27.904166626689626,8.444427826744269
5.0,10375,0.45096006094691266,0.2934194505214691,28.948419660287573,9.018711744364108
6.0,12450,0.4451653096762048,0.2857346534729004,28.75768542365977,9.016247400613919
7.0,14525,0.405851609563253,0.27569442987442017,29.583429109709314,9.609402612043949
8.0,16600,0.38183734939759034,0.2668282389640808,30.514120372697445,10.199429097747213
9.0,18675,0.36231827701430724,0.25846514105796814,31.10363677828925,10.704610482428816
10.0,20750,0.3484796216114458,0.25207680463790894,31.62186327819358,11.10409902767267
11.0,22825,0.3352276684864458,0.24787259101867676,32.04889112673326,11.41115220253717
12.0,24900,0.3240691770990211,0.24412496387958527,32.45946703124757,11.752906264552317
13.0,26975,0.314273578689759,0.23920263350009918,32.721404191218475,11.975320857360215
14.0,29050,0.30574230515813255,0.23748935759067535,33.10914287978031,12.277694426757526
15.0,31125,0.2986346067865211,0.23490113019943237,33.358988580425844,12.459052872898942
16.0,33200,0.292461378717997,0.23108291625976562,33.448889485405445,12.53763251937006
17.0,35275,0.28632391872176205,0.22944873571395874,33.64387589469141,12.725496560837396
18.0,37350,0.2815085243317018,0.227350652217865,33.7630261046341,12.830174175743977
19.0,39425,0.27738934252635544,0.22620755434036255,33.861214381512234,12.918364701907302
20.0,41500,0.27303884483245483,0.22451099753379822,34.02145190444334,13.016480570586747
21.0,43575,0.26974741740399094,0.2237599641084671,34.06870622565364,13.038385616888071
22.0,45650,0.26667839326054216,0.22248759865760803,34.110105182528436,13.09294874324557
23.0,47725,0.26349141683923194,0.221132293343544,34.19690864657357,13.178741132256565
24.0,49800,0.26163283014871985,0.22070181369781494,34.299585365259055,13.257745071337753
25.0,51875,0.25961158108998494,0.22052910923957825,34.323363740202716,13.280255092939806
26.0,53950,0.2584384412650602,0.21972212195396423,34.377505908215596,13.318689013575902
27.0,56025,0.2561838173004518,0.2198188751935959,34.36782699207865,13.312421753402155
28.0,58100,0.25554881635918675,0.21925753355026245,34.413938282667885,13.34384294012035
29.0,60175,0.2545728127353163,0.21913449466228485,34.42101587485703,13.350883469316896
30.0,62250,0.25445188958960846,0.21919119358062744,34.45126389559688,13.384135838397091
